fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
THIACPD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TPPO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRBTNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRBYAZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tris2C4oxC2y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VCZL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VEC;;;;;;0.684944444;;;;;;0.727222222;;;;;;;;;;;;;;;;;;;;;;;1.011222222;0.580611111;0.633833333;;;;;;;;;;;;;;;;;;;;;;1.884361111;;;;;;;;;;;;;;;;;1.4865;;;;;;1.759388889;;1.807333333;2.241388889;1.845166667;4.947388889;;;;;;;0.462722222;;1.762964646;2.2408;;;;;;;3.083433333;0.687277778;2.94412963;;;;;;;2.477569444;;;;2.191083333;2.511638889;2.735055556;2.740333333;2.420444444;2.5655;;;;;0.54925;;;;;2.958708333;2.276916667;;1.204416667;;;;;;2.236388889;0.51025;;3.334444444;3.982833333;;2.92525;;;;;1.146083333;;0.832583333;;;;;;;;;;;;;;;;;;;;;;;;;;2.456611111;3.132111111;;2.751388889;;;;;;;;;;1.430430556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.779826923;;;;;;;;
VOGEL;;;;;;5.866161616;;0.268518519;;;;14.93333333;;;;;;;;;;;;;;;;;;;;;;;;;4.362318841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;1.555555556;;;;;;;;2.925727867;;;;;0.066666667;;;;2.29040404;;;;;;;;;;;;;;0.060606061;;;;;;0.462301587;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.3030303;;;;;;;;
WATDTE;1.4;20;0.8;0.6;0.4;16.2437037;;0.533333333;;1;0.8;24.0337963;;0.7;1.016666667;0.4;;0.85;1.05;0.5;0.5;0.8;0.483333333;0.55;0.4;0.3;2;;;0.4;0.333333333;0.6;1.575;0.45;6.45;70.5;12.73472222;1.411111111;;1.6;0.6;1.95;0.6;0.9;;0.78;0.4;0.7875;0.6;0.8;1.55;;1;;1.225;0.6;;;2.5;1.05;0.9625;0.7;0.65;0.7;1.25;;1.8;;;;0.3;1.3;0.8;0.95;;1.723809524;0.433333333;0.5;1;0.5;0.75;1.3625;0.35;1.2;1.295;1.25;0.9;;0.65;0.2;0.9;0.45;0.95;18.34848485;0.4;1.525;0.95;0.7;0.725;0.35;0.5;0.45;0.6;0.766666667;17.58333333;1.279166667;;0.55;1.9875;0.8;;0.6;1.794444444;0.516666667;1.4;0.3;1.85;1.383333333;2;1.05;1.15;1.333333333;1.025;0.7;0.55;0.616666667;3.8;0.85;;;;1.6;1.7;0.8;2.6;1.233333333;;;1.65;0.2;1;15.57083333;1;1.2;0.8;0.4;1.1;0.335714286;;0.4;1.2;1.383333333;;23.6;1.5;;;;;1.15;0.666666667;1.075;0.916666667;0.8;1.5;2.1;0.925;0.7875;1;0.55;0.3;1.2;;;;;0.8;;2.3;1.45;1.6;0.525;1.95;0.95;0.75;1;0.25;1.883333333;;;0.4;;19.45454545;0.5;0.8;0.825;0.8;0.4;0.71;0.8;1.4;0.6;;0.95;;0.4;0.8;0.3;0.933333333;;0.9;;1.2;0.9;0.6;2.35;0.633333333;1.2;0.675;0.2;1;1.1;0.466666667;0.8;1.2;1.1;0.6;0.65;;0.6;0.6;0.45;0.9;1.2;0.8;1;24.00257937;1.036111111;0.9;1;0.6;;;;
ZICHT;0.416666667;0.376190476;0.627777778;0.427777778;0.35;1.327205882;;0.417407407;;0.497222222;0.219444444;1.302314815;;0.316666667;0.287037037;0.341666667;;0.333333333;0.755555556;0.308333333;0.516666667;0.533333333;0.388888889;0.594444444;0.366666667;0.2;0.270833333;;;0.1875;0.242361111;0.575;0.613353175;0.383333333;2.355555556;4.152777778;1.653591954;0.286328976;;0.813888889;0.5625;0.252777778;0.45;0.773333333;;0.5;0.295833333;0.502083333;0.563888889;0.652777778;0.502380952;;0.461111111;0.516666667;0.286111111;0.177083333;0.125;0.3375;0.875;0.863888889;0.745138889;0.40625;0.472727273;0.515555556;0.472222222;;0.358333333;;;;0.203373016;0.533333333;0.45;0.416666667;;0.955782313;0.520238095;0.4875;0.7725;0.386111111;0.591666667;0.975;0.277777778;0.85;0.9;1.094444444;0.558333333;;0.369444444;0.158333333;0.48125;0.366666667;0.587962963;1.590079365;0.325;1.211111111;0.983333333;0.536111111;0.447222222;0.3;0.3;0.477777778;0.444444444;0.587037037;1.392063492;0.632407407;0.5;0.552777778;0.813194444;0.511111111;;0.594444444;0.633884804;0.448148148;0.445833333;0.261111111;0.697222222;0.703804348;0.6;0.8;0.755555556;0.575081699;0.576388889;0.475;0.497222222;0.515250545;4.375;0.283333333;;;;0.791666667;1.066666667;0.475;1.758333333;0.62254902;0.283333333;0.25;0.338888889;0.2;0.958333333;1.163535354;0.530555556;0.555555556;1.495833333;0.316666667;0.627651515;0.362896825;;0.391666667;0.472222222;1.204166667;;2.266666667;0.7;;;;;0.683333333;0.761111111;0.897222222;0.711111111;0.472222222;0.817460317;0.844444444;0.522222222;0.533333333;0.8;0.469444444;0.3;0.777777778;;;;;0.694444444;;0.561111111;0.744444444;0.583333333;0.517460317;0.844444444;0.811111111;0.694444444;0.783333333;0.247222222;1.1;0.416666667;0.633333333;0.416666667;0.325;1.102777778;0.508333333;0.633333333;0.519444444;0.233333333;0.35;0.507676768;0.694444444;0.708333333;0.508333333;;0.75;;0.2125;0.783333333;0.458333333;0.591666667;;0.661111111;;0.733333333;0.547916667;0.441666667;1.45;0.467592593;0.725;0.647222222;0.366666667;0.666666667;1.058333333;0.3375;0.758333333;0.827777778;0.8;;0.588888889;;0.383333333;0.2;0.411111111;0.186111111;0.55;0.575;0.494444444;1.880886243;0.786074074;0.663888889;0.463888889;0.594444444;0.4;0.3;0.516666667;0.366666667
ZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;19;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;6;;;;19;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;16;;;;;;;;;;5;4;;;;;;;;;;
ZN-1;8;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;9;;;;5.152777778;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.375;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;110;;;0.75;0.75;;;;;9.5;1.694444444;0.5;0.75;;2.5;2.25;;;;;;
ZS;31.02380952;33.69047619;12.88888889;22.11111111;27.83333333;5.113227513;;;;15.36111111;42.33333333;4.796296296;;25.16666667;33.46296296;31.41666667;;28;9.916666667;52.27777778;16.41666667;15.83333333;19.27777778;9.111111111;18.44444444;19;27.75;;;43;19.11111111;11.5;14.38521242;18.38888889;2.944444444;2.111111111;2.111111111;37.61328976;;9.416666667;10.89583333;22.16666667;20.97222222;9.633333333;;14.56666667;24;18.04166667;10.88888889;11;19.33333333;;19.72222222;8.666666667;20.91666667;89.33333333;16.5;9.666666667;12.58333333;11.5;9.791666667;14.27083333;16.3989899;12.58888889;23.04166667;;31.66666667;;;;69.81944444;17.14285714;23.41666667;17.66666667;;10.07993197;12.58333333;17.5;5.875;16.88888889;16.16666667;6.763888889;16.33333333;9.666666667;9.944444444;5.555555556;23.88888889;;39.43055556;25;12.375;18.08333333;10.65740741;2.964285714;15.16666667;4.958333333;6.277777778;15.33333333;20.88888889;44.5;25;18.77777778;12.25;11.44907407;4.888888889;13.64351852;4;12.72222222;12.67592593;11.16666667;;9.722222222;13.16111111;13.0537037;19;15.36111111;11.36111111;11.97222222;15.27777778;10.66666667;10.88888889;16.30555556;16.75;20.75;9.597222222;8.725490196;1.75;15.66666667;;;;13.16666667;10.19444444;15.41666667;5.041666667;19.05555556;33.5;26.5;27.05555556;19;7.777777778;3.9;21.91666667;17.18055556;17.29166667;19.16666667;13.66666667;30.73809524;;20.75;17.36111111;6.041666667;;4.625;12.38888889;;;;;15.05555556;4.944444444;7.513888889;9.277777778;17.94444444;9.515873016;8.222222222;9.583333333;16.05555556;23;14.55555556;16;8.055555556;;;;;7.833333333;;13.38888889;10.22222222;16.11111111;10.19444444;10;10.55555556;14.5;8.686507937;15.34722222;8;18.83333333;11.08333333;13.29166667;22.33333333;11.03125;18.58333333;9.5;15.11111111;48;26.33333333;20.11262626;12;11.875;15.33333333;;17.11111111;;93.91666667;8.333333333;6;10.86111111;;21.33333333;;14.08333333;9.854166667;15.25;7.027777778;19.62037037;7.611111111;7.986111111;12.58333333;12.75;6.916666667;8.388888889;7.760416667;15.22222222;9;8.5;9.888888889;;15.23888889;48;16.86111111;106.8888889;17.85416667;11;16.33333333;4.324108336;11.47074074;12.22222222;22.72222222;13;7.666666667;40;4.166666667;5.666666667
ZVP;78.83333333;67.41666667;52.33333333;55.95333333;71.33333333;75.0024297;;;;71.45454545;59.44444444;93.42067945;;57.33333333;97.95555556;85.58333333;;72.83333333;72.0040404;54.16666667;45.25;50.43333333;80.03333333;82.66666667;48.11111111;162;64.18333333;;;47.38333333;64.33333333;65.25;65.70108696;71.68939394;85.61111111;91.33333333;96.77619048;71.04656863;;53.74444444;69.8;28.11111111;60.11111111;61.4;;65.0270936;62.25;82.825;70.4;55.22222222;52.27777778;;64.54444444;16.4;33.05555556;51.33333333;47.5;33.66666667;74.2;55.85555556;64.40277778;52.69318182;73.20740741;56.08333333;76.6031746;;60.08333333;;;;49.54248366;51.81666667;65.91666667;68.78888889;;80.82153316;57.68589744;47.58333333;62.9375;68.86666667;65.13333333;82.66919192;34.63333333;88.74444444;81.78888889;79.33333333;83;;38.54722222;75.5;65;71.27777778;69.875;84.88455988;77.5;87.23111111;80.11111111;79.3;58.88888889;110;105;45.22222222;38.05555556;73.09987374;75.50897436;81.33333333;87;73.30555556;91.97916667;69.61111111;;60.16666667;82.72649573;67.86623377;74.25925926;62.26666667;93.7;89.04444444;81.93333333;71.1;77.2;88.44444444;76.01111111;122;62.11111111;58.75;89.225;32.22222222;;;;74.63636364;81.28333333;54.60227273;88.55;53.51893939;55.33333333;59.5;77.45;45;79.90959596;85.37419048;76.33333333;81.75;84.75;66.12222222;78.73214286;70.43888889;;79.2;87.83333333;88.05;;89.75;74.83333333;;;;;72.19444444;69.24444444;59.63888889;75.52026144;91;80.12698413;78.11111111;54.91666667;52.72222222;78;37.5;78;57.96666667;;;;;62.93333333;;75.30555556;84.72777778;85.16666667;64.21428571;81.86666667;63.83333333;72.96296296;74.18888889;72.86666667;87;34;53.83333333;32.21666667;18.16666667;83.42943548;76.725;49.26666667;51.40353535;58.3;28.83333333;70.5037037;86.06666667;61.08333333;53.08333333;;54.85555556;;25.25;32.33333333;34.16666667;59.65178571;;70.94444444;;56.91666667;38.59166667;36.475;75.53333333;55.23888889;84.04444444;71.45555556;28.16666667;79.46666667;82.4;70.95;39.08333333;53.45555556;105;;69.11111111;;32.96825397;46;65.96666667;59.93333333;55.5;74.25;74.27777778;79.45763889;62.0495935;74.09090909;83.18333333;71.72222222;42.83333333;50;57.66666667;58.66666667
ZWEM;;;;;;1.170454545;;0.085185185;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0.050724638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.441666667;;;;;;;;;;;0.263888889;;;;;;;;0.562982769;;;;;0.757575758;;;;1.073232323;;;;;;;;;;;;;;0.366666667;;;;;;0.699404762;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.060606061;;;;;;;;
